material_name
Гранулы белый 2x2
Нить серый 1x0
Нить белый 1x3
Нить цветной 1x1
Нить цветной 2x0
Краска синий 2x2
Нить синий 0x2
Гранулы серый 2x2
Краска синий 1x2
Нить зеленый 2x0
Гранулы синий 1x2
Нить синий 3x2
Краска белый 2x2
Краска зеленый 0x3
Нить зеленый 2x3
Краска белый 2x1
Нить серый 2x3
Гранулы серый 3x2
Краска серый 3x2
Гранулы белый 0x3
Краска цветной 1x1
Гранулы белый 1x0
Краска серый 0x2
Гранулы серый 3x3
Краска серый 3x0
Гранулы синий 2x1
Гранулы синий 0x2
Нить цветной 1x0
Краска зеленый 2x2
Краска цветной 1x3
Краска серый 2x0
Нить зеленый 2x1
Краска цветной 0x3
Нить белый 2x3
Гранулы синий 3x0
Гранулы синий 1x3
Нить цветной 2x1
Гранулы серый 3x0
Краска синий 3x0
Нить зеленый 0x0
Гранулы белый 1x2
Краска белый 3x0
Краска цветной 0x1
Нить серый 1x1
Краска синий 2x1
Нить серый 3x0
Краска зеленый 3x3
Краска синий 2x0
Гранулы синий 2x3
Нить синий 0x3
Нить синий 3x3
Краска зеленый 2x3
Нить синий 3x0
Гранулы серый 2x1
Краска зеленый 0x1
Краска синий 0x0
Краска серый 2x1
Нить белый 0x1
Гранулы зеленый 1x2
Краска серый 0x1
Гранулы цветной 0x1
Гранулы белый 3x1
Нить зеленый 0x2
Гранулы зеленый 0x2
Краска цветной 1x2
Краска зеленый 1x0
Гранулы серый 0x0
Гранулы синий 0x3
Краска цветной 2x1
Нить синий 2x3
Нить синий 2x1
Гранулы белый 1x1
Краска синий 1x3
Краска зеленый 3x0
Нить зеленый 1x0
Краска цветной 0x2
Нить синий 3x1
Краска зеленый 0x2
Краска синий 3x3
Краска зеленый 1x1
Краска цветной 2x3
Нить цветной 3x0
Гранулы серый 2x3
Краска белый 1x0
Гранулы серый 3x1
Гранулы серый 2x0
Нить белый 0x2
Гранулы зеленый 1x1
Нить серый 0x2
Гранулы белый 0x2
Нить цветной 3x2
Гранулы белый 3x0
Нить серый 1x2
Краска белый 0x1
Гранулы цветной 0x3
Нить серый 1x3
Гранулы белый 2x3
Краска зеленый 3x1
Гранулы цветной 3x2
Нить белый 2x0
